YGL075C	YKL109W
YGL209W	YGR040W
YJR112W	YDR393W
YAR014C	YER133W
YER146W	YDR110W
YGL247W	YCR106W
YDR295C	YHR080C
YER146W	YDR378C
YOL088C	YKR083C
YIL079C	YBR233W
YER118C	YCL032W
YDL140C	YKR031C
YJR031C	YKR030W
YKL117W	YOL001W
YMR053C	YPL249C
YIL038C	YHR080C
YLL021W	YDL159W
YGL093W	YOL135C
YOR344C	YDL148C
YDL043C	YDR409W
YML110C	YMR071C
YHR118C	YLR002C
YDR295C	YGR120C
YPL269W	YOR156C
YFL037W	YML085C
YJL092W	YDR128W
YDL239C	YKL103C
YNL262W	YDR121W
YGL240W	YKL109W
YDR135C	YGL181W
YLR105C	YPL083C
YLR191W	YFR021W
YDR361C	YPL208W
YJL124C	YPL152W
YFL008W	YKR054C
YDR283C	YJR043C
YDR101C	YMR047C
YMR138W	YHR141C
YOR144C	YNL078W
YOR252W	YKL172W
YML098W	YJL058C
YNL242W	YDL149W
YIL095W	YHR161C
YJR022W	YLR133W
YDR106W	YHR129C
YDR388W	YDR362C
YPL240C	YDR224C
YMR204C	YLR324W
YER018C	YCR077C
YER018C	YIL084C
YPL070W	YDR256C
YFL023W	YFL046W
YDL043C	YDR180W
YDR174W	YOR144C
YFR050C	YNL253W
YJL039C	YMR153W
YJL140W	YPR187W
YOL123W	YCL028W
YER118C	YCL031C
YOR159C	YPR182W
YLR291C	YML106W
YMR308C	YKL135C
YKL179C	YPL074W
YBR261C	YPL049C
YJL112W	YDR150W
YJR033C	YKL080W
YMR049C	YNR053C
YGR229C	YHR030C
YCL032W	YPL249C
YBL026W	YNL118C
YPR165W	YOR134W
YAR007C	YNR071C
YMR032W	YGL201C
YER133W	YJL042W
YAR007C	YMR224C
YGR120C	YGL223C
YPR046W	YLR093C
YJR091C	YOR014W
YHR114W	YGR281W
YPL166W	YLR423C
YOL108C	YLR422W
YHR158C	YHR080C
YPR048W	YDL215C
YDL235C	YHR206W
YNL090W	YPL161C
YHR152W	YJR148W
YHR016C	YLR064W
YDR293C	YGR238C
YIR006C	YGR241C
YFR021W	YJR025C
YMR032W	YER032W
YBL084C	YLR135W
YLR399C	YFL046W
YER114C	YLR342W
YAR014C	YMR026C
YGR058W	YNL047C
YHR158C	YGR238C
YBR264C	YNL044W
YBR057C	YGR120C
YOL108C	YOL067C
YGL212W	YDR446W
YBR057C	YLR031W
YIL007C	YKL145W
YOL131W	YLR182W
YHR016C	YBL007C
YLR291C	YFL039C
YMR109W	YOR247W
YDR285W	YOL069W
YOR269W	YOR191W
YOL088C	YHR091C
YER112W	YJL155C
YDR295C	YGL025C
YOR269W	YLR454W
YGL058W	YCR066W
YJR076C	YOR156C
YBR101C	YAL005C
YLL049W	YHR129C
YDL239C	YLR072W
YGL093W	YNL084C
YMR294W	YBL105C
YML051W	YOR370C
YOR119C	YKR010C
YHL002W	YHL034C
YAL032C	YMR190C
YDL160C	YLR136C
YJR101W	YLR423C
YLR332W	YPR080W
YBL007C	YKR022C
YPL240C	YNL093W
YGL181W	YFR024C-A
YPL045W	YKR014C
YOR144C	YIR002C
YDR004W	YER173W
YBR057C	YLR166C
YDR328C	YDL030W
YNL113W	YFR011C
YMR065W	YGR059W
YHR154W	YLR320W
YML064C	YPL242C
YBL007C	YCL031C
YMR117C	YOR358W
YDR285W	YPL009C
YBL078C	YLR312C
YJL085W	YBR057C
YHR166C	YLR451W
YMR005W	YDR167W
YDR320C-A	YER127W
YPL018W	YJL185C
YGR089W	YPL055C
YPR083W	YMR294W
YJR112W	YLR025W
YAL032C	YPR189W
YHR154W	YPR164W
YNL175C	YPL043W
YAL030W	YJL036W
YOL090W	YIL143C
YER087C-B	YMR043W
YLR332W	YLR371W
YAL044W-A	YER174C
YLR399C	YMR077C
YMR001C	YJL187C
YNL315C	YGL053W
YDR295C	YJL019W
YNL182C	YKL073W
YKL089W	YOR039W
YAL032C	YLR345W
YPR159C-A	YIR033W
YLR025W	YML111W
YPR155C	YHR080C
YMR053C	YKR083C
YPL249C	YPR141C
YJR112W	YGL025C
YDR288W	YBR267W
YPL018W	YCR086W
YKR054C	YER128W
YHR078W	YPL018W
YMR052W	YFR008W
YDL117W	YPL158C
YOR344C	YLR025W
YNL161W	YHR102W
YGR058W	YLR113W
YDR404C	YBL026W
YGR177C	YNL044W
YJL092W	YAL028W
YLR399C	YAL011W
YGL155W	YKL019W
YER146W	YGR210C
YKL089W	YPL146C
YER018C	YGR280C
YHR011W	YMR077C
YNL189W	YOR229W
YBL105C	YEL002C
YOR334W	YGR009C
YPL240C	YKR068C
YBR156C	YDL239C
YNL224C	YLR424W
YAL041W	YGR221C
YER093C	YBR102C
YPL240C	YLR113W
YDL153C	YBR041W
YPR159C-A	YIR038C
YLR314C	YGL180W
YMR138W	YOR070C
YLR310C	YOR156C
YML064C	YPL111W
YAL047C	YOR073W
YKR054C	YLR315W
YGR120C	YNL287W
YCL032W	YLR026C
YER087C-B	YHR133C
YDR085C	YLR423C
YLR200W	YDR200C
YHR192W	YLR315W
YER157W	YPL174C
YDR328C	YLR399C
YBL091C-A	YPL094C
YHR152W	YHR128W
YOR136W	YKL103C
YAR007C	YCR066W
YLR397C	YKL068W
YOR054C	YKL088W
YMR239C	YIL104C
YJR091C	YFR036W
YBR057C	YDR295C
YPL232W	YLR025W
YPR040W	YDL188C
YJL141C	YJL164C
YLR452C	YIL159W
YGL211W	YIL008W
YJL092W	YDR386W
YGL029W	YPL043W
YDL084W	YDR510W
YMR053C	YDR505C
YLL021W	YNL091W
YGL187C	YBR133C
YPL018W	YJL057C
YER106W	YER177W
YPL144W	YBL023C
YOR117W	YGL025C
YCL032W	YKR083C
YJR147W	YOL145C
YER133W	YBL007C
YDL227C	YML088W
YLR291C	YDR480W
YMR198W	YGR089W
YGL215W	YLL024C
YOR117W	YMR117C
YHR114W	YBL027W
YOR117W	YJL019W
YKR054C	YPR155C
YNL078W	YJR076C
YJL184W	YDR252W
YJL124C	YGR158C
YBR198C	YGL112C
YOR119C	YKR011C
YIL109C	YLR026C
YEL003W	YLR082C
YJR136C	YKL033W
YHL020C	YOL004W
YLR036C	YDR479C
YML007W	YLR347C
YHR113W	YKL103C
YDR060W	YFR001W
YPR165W	YHR206W
YAR007C	YDR005C
YLR399C	YKR054C
YER172C	YNR011C
YOR117W	YAR018C
YBL026W	YOR191W
YLR025W	YNL084C
YCL029C	YDL064W
YDR409W	YDR510W
YDR060W	YPL093W
YJR022W	YNL329C
YEL024W	YDL207W
YPL018W	YMR270C
YAL047C	YLR206W
YCL032W	YDR505C
YDL213C	YFR032C
YFL038C	YOR370C
YCL029C	YDR510W
YLR315W	YDR383C
YOR115C	YDR407C
YNL307C	YAL038W
YNL267W	YDR170C
YDR409W	YDL064W
YKL179C	YOR073W
YOR337W	YEL005C
YPL153C	YHR202W
YDR088C	YER172C
YMR308C	YJR159W
YJL110C	YLR319C
YLR314C	YPL018W
YMR053C	YJL019W
YOR254C	YLR292C
YOR117W	YJR112W
YER093C	YPR108W
YKL079W	YOR329C
YBL041W	YCR073C
YLL036C	YPL257W
YGR130C	YML030W
YPL002C	YLR119W
YLR257W	YLR345W
YDR295C	YNL084C
YIL152W	YJL112W
YMR117C	YDR486C
YGL237C	YBL021C
YJR147W	YNL084C
YNL044W	YDR244W
YHR172W	YNL126W
YPL240C	YCL063W
YIL038C	YGL145W
YJL092W	YNL088W
YHR154W	YDR076W
YLR376C	YMR168C
YOL004W	YDR169C
YAR007C	YDR129C
YPL240C	YKR064W
YJR112W	YER093C
