YKR034W	YAL046C
YPL084W	YOR353C
YNL079C	YPL240C
YDL117W	YER118C
YMR109W	YNL094W
YKR054C	YPL063W
YIL005W	YKL088W
YHR171W	YER134C
YLR086W	YJR112W
YDL161W	YHR016C
YGL172W	YLR430W
YJR050W	YDR416W
YKL001C	YNL311C
YJL151C	YML097C
YFR024C-A	YCL031C
YIL074C	YNL311C
YDR479C	YPR159C-A
YDL042C	YNL124W
YLR423C	YDR052C
YNL053W	YMR022W
YLR265C	YGL090W
YLR438C-A	YBR108W
YDR412W	YER133W
YGR294W	YKL088W
YLL008W	YGR024C
YMR052W	YDR200C
YHR114W	YMR253C
YIR017C	YGL209W
YDR006C	YOR178C
YMR236W	YGR119C
YNL306W	YMR022W
YBR268W	YMR022W
YJL145W	YLR266C
YPR029C	YHR083W
YBL093C	YML051W
YJR022W	YJL004C
YHR061C	YMR055C
YPL020C	YCR007C
YLR409C	YDR449C
YML013W	YDL126C
YBR273C	YDL190C
YBL026W	YHR122W
YMR136W	YMR022W
YKL078W	YHR148W
YJL039C	YGL092W
YOR046C	YMR022W
YNL090W	YGR024C
YFR021W	YMR022W
YOL034W	YIR002C
YHR177W	YBR175W
YGR188C	YOR026W
YGR030C	YJR072C
YMR109W	YNR059W
YGR251W	YJL069C
YGR123C	YNR032W
YGL198W	YKL059C
YBL105C	YBL007C
YER101C	YDR100W
YDR021W	YLR336C
YGL254W	YIL046W
YNL233W	YER133W
YMR111C	YHL018W
YJR084W	YDR363W-A
YNL118C	YBL045C
YHR034C	YDR288W
YNL263C	YMR022W
YDL236W	YNL189W
YGL210W	YER136W
YKL172W	YDR227W
YDR469W	YEL005C
YJR133W	YFR052W
YPL038W	YER114C
YHR033W	YDL116W
Q0120	YLR382C
YDL059C	YOR069W
YOR230W	YGR180C
YBR102C	YDR228C
YDR365C	YIL035C
YER065C	YNL189W
YLR386W	YLR215C
YAL033W	YGR030C
YPL174C	YOR039W
YLR273C	YIL046W
YOR350C	YNL124W
YIL099W	YHR061C
YFL055W	YNL124W
YDR132C	YPL018W
YOL123W	YCL032W
YOR297C	YDR172W
YMR093W	YOL133W
YLR362W	YMR022W
YPR049C	YOR152C
YLR451W	YMR022W
YGR227W	YBL007C
YJL013C	YGR014W
YNL044W	YNL304W
YNR052C	YDR309C
YAR014C	YOR329C
YMR035W	YLR368W
YNR034W	YOR178C
YNL315C	YER118C
YGR040W	YDR480W
YDL043C	YER112W
YOL043C	YMR167W
YDR286C	YMR022W
YDL153C	YML093W
YOL127W	YPL240C
YDL001W	YMR079W
YEL037C	YER162C
YJR141W	YMR022W
YPL020C	YDR100W
YML035C	YLR191W
YIR039C	YCR003W
YGR271W	YMR022W
YDR091C	YOL016C
YKL130C	YMR314W
YFR001W	YPL012W
YGL019W	YPL240C
YKR066C	YPL004C
YJL072C	YDR013W
YJL057C	YJL097W
YMR200W	YJL115W
YOL151W	YNL118C
YHR181W	YPL240C
YAR033W	YJR013W
YOL091W	YDR373W
YHR201C	YMR022W
YMR288W	YNL286W
YPL022W	YML095C
YIL074C	YLR291C
YJR159W	YPL031C
YPR172W	YBL033C
YGL122C	YKR095W
YMR044W	YMR022W
YHR148W	YCR099C
YDR439W	YKL088W
YPR180W	YJL001W
YGR216C	YDR267C
YCR011C	YHR083W
YOL082W	YKL103C
YGR136W	YNL094W
YGR295C	YPL240C
YPR022C	YNL182C
YNL331C	YER118C
YER180C	YNL310C
YAL032C	YDR448W
YDR036C	YLR397C
YPL252C	YMR022W
YKR023W	YBR034C
YNL290W	YJR068W
YGL210W	YOR070C
YGR120C	YOR353C
YPL211W	YOL144W
YAR014C	YMR018W
YFR001W	YPL146C
YKL020C	YLR233C
YOR156C	YLR310C
YBR238C	YLR424W
YNR038W	YNL002C
YIR037W	YGR024C
YLR273C	YOR353C
YLR423C	YBR102C
YNR038W	YJR041C
YHR042W	YMR022W
YJR080C	YDR176W
YER018C	YLR424W
YLR404W	YPL240C
YAL005C	YNL124W
YIL156W	YHL002W
YFR033C	YNL236W
YDR159W	YLR423C
YJL019W	YOR294W
YLR342W	YBR034C
YBR162W-A	YPL094C
